bbk_full;bbk_abb;description;changes;;;
32.846.4;;;См. 32.847.4  Катодные;;;
;;;повторители;;;
32.846.5;32.846.5;Усилители постоянного тока и напряжения;;;;
32.846.6;32.846.6;Усилители низкой и звуковой частоты;;;;
32.846.7;32.846.7;Широкополосные усилители;;;;
32.846.8;32.846.8;Усилители высокой частоты;;;;
32.846.9;;;См. 32.846.88 Параметрические;;;
;;;усилители;;;
32.847;32.847;Импульсные устройства;;;;
32.847.2;32.847.2;Полупроводниковые импульсные устройства;;;;
32.847.3;32.847.3;Генераторы импульсов;;;;
32.847.4;32.847.4;Усилители импульсов;;;;
32.847.5;;;См. 32.847 Импульсные устройства;;;
32.847.6;32.847.6;Счетчики импульсов;;;;
32.847.7;32.847.7;Анализаторы и компараторы импульсов;;;;
32.847.8;32.847.8;Наносекудные импульсные устройства;;;;
32.848;32.848;Радиопередающие устройства (радиопередатчики);;;;
32.848-04;32.848-04;Узлы и каскады радиопередающих устройств;;;;
32.848.2;32.848.2;Полупроводниковые (транзисторные) радиопередатчики;;;;
32.848.3;32.848.3;Радиопередатчики длинных, средних и коротких волн;;;;
32.848.4;32.848.4;Радиопередатчики ультракоротких волн;;;;
32.849;32.849;Радиоприемные устройства (радиоприемники);;;;
32.849.2;32.849.2;Полупроводниковые (транзисторные) радиоприемники.;;;;
;;Детекторные радиоприемники;;;;
32.849.3;32.849.3;Коротковолновые радиоприемники;;;;
32.849.4;32.849.4;Ультракоротковолновые и сверхвысокочастотные;;;;
;;радиоприемники;;;;
32.849.5;32.849.5;Радиоприемники прямого усиления;;;;
32.849.6;32.849.6;Супергетеродинные радиоприемники;;;;
;;;;;;
32.849.8;32.849.8;Радиолы, магнитолы и радиокомбайны;;;;
32.849.9;32.849.9;Любительские и самодельные радиоприемники;;;;
32.85;32.85;Электроника;;;;
;32.850.4;Электроника сверхвысоких частот (микроволновая электроника);;;;
32.851;32.851;Вакуумная электроника;;;;
32.851.1;;;См. 32.851 Вакуумная электроника;;;
32.851.2;;;См. 32.852.1 Ионные приборы;;;
;;;(газоразрядные приборы);;;
32.852;;;См. 32.853.1 Полупроводниковые;;;
;;;приборы;;;
;32.852;Плазменная электроника;;;;
;32.852.1;Ионные приборы (газоразрядные приборы);;;;
32.852.2;;;См. 32.853.2 Полупроводниковые;;;
;;;диоды;;;
32.852.4;;;См. 32.853.4 Полупроводниковые;;;
;;;тиристоры;;;
32.852.8;;;См. 32.843.3 Полупроводниковые;;;
;;;материалы и изделия;;;
;32.853;Твердотельная электроника;;;;
;32.853.1;Полупроводниковые приборы;;;;
;32.853.2;Полупроводниковые диоды;;;;
;32.853.3;Полупроводниковые транзисторы;;;;
;32.853.4;Полупроводниковые тиристоры;;;;
